X,Y,OBJECTID,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Recovered,Deaths
-58.93018,4.860416,151,,Guyana,2020-04-16T10:35:12.000Z,4.860416,-58.93018,55,8,6
-72.2852,18.9712,152,,Haiti,2020-04-16T10:35:12.000Z,18.9712,-72.2852,41,0,3
-86.2419,15.2,154,,Honduras,2020-04-16T10:35:12.000Z,15.2,-86.2419,426,9,35
19.5033,47.1625,155,,Hungary,2020-04-16T10:35:12.000Z,47.1625,19.5033,1652,199,142
-19.0208,64.9631,156,,Iceland,2020-04-16T10:35:12.000Z,64.9631,-19.0208,1727,1077,8
78.96288,20.593684,157,,India,2020-04-16T10:35:12.000Z,20.593684,78.96288,12456,1513,423
113.9213,-0.7893,158,,Indonesia,2020-04-16T10:35:12.000Z,-0.7893,113.9213,5516,548,498
53.688046,32.427908,159,,Iran,2020-04-16T10:35:12.000Z,32.427908,53.688046,76389,49933,4777
43.679291,33.223191,160,,Iraq,2020-04-16T10:35:12.000Z,33.223191,43.679291,1415,812,79
-7.6921,53.1424,161,,Ireland,2020-04-16T10:35:12.000Z,53.1424,-7.6921,12547,77,444
34.851612,31.046051,162,,Israel,2020-04-16T10:35:12.000Z,31.046051,34.851612,12591,2624,140
12.56738,41.87194,163,,Italy,2020-04-16T10:35:12.000Z,41.87194,12.56738,165155,38092,21645
-77.2975,18.1096,164,,Jamaica,2020-04-16T10:35:12.000Z,18.1096,-77.2975,125,21,5
138.252924000000121,36.204824,165,,Japan,2020-04-16T10:35:12.000Z,36.204824,138.252924,8626,901,178
36.51,31.24,166,,Jordan,2020-04-16T10:35:12.000Z,31.24,36.51,401,250,7
66.9237,48.0196,167,,Kazakhstan,2020-04-16T10:35:12.000Z,48.0196,66.9237,1341,263,17
37.9062,-0.0236,168,,Kenya,2020-04-16T10:35:12.000Z,-0.0236,37.9062,225,53,10
127.766922,35.907757,169,,"Korea-South",2020-04-16T10:35:12.000Z,35.907757,127.766922,10613,7757,229
20.902977,42.602636,170,,Kosovo,2020-04-16T10:35:12.000Z,42.602636,20.902977,387,66,8
47.481766,29.31166,171,,Kuwait,2020-04-16T10:35:12.000Z,29.31166,47.481766,1524,225,3
74.766098,41.20438,172,,Kyrgyzstan,2020-04-16T10:35:12.000Z,41.20438,74.766098,466,91,5
24.6032,56.8796,174,,Latvia,2020-04-16T10:35:12.000Z,56.8796,24.6032,675,57,5
35.8623,33.8547,175,,Lebanon,2020-04-16T10:35:12.000Z,33.8547,35.8623,663,85,21
-9.429499,6.428055,176,,Liberia,2020-04-16T10:35:12.000Z,6.428055,-9.429499,59,4,6
17.228331,26.3351,177,,Libya,2020-04-16T10:35:12.000Z,26.3351,17.228331,48,11,1
9.55,47.14,178,,Liechtenstein,2020-04-16T10:35:12.000Z,47.14,9.55,79,55,1
23.8813,55.1694,179,,Lithuania,2020-04-16T10:35:12.000Z,55.1694,23.8813,1128,178,30
6.1296,49.8153,180,,Luxembourg,2020-04-16T10:35:12.000Z,49.8153,6.1296,3373,526,69
,,181,,MS Zaandam,2020-04-16T10:35:12.000Z,,,9,0,2
34.301525,-13.254308,183,,Malawi,2020-04-16T10:35:12.000Z,-13.254308,34.301525,16,0,2
101.975766,4.210484,184,,Malaysia,2020-04-16T10:35:12.000Z,4.210484,101.975766,5182,2766,84
-3.996166,17.570692,186,,Mali,2020-04-16T10:35:12.000Z,17.570692,-3.996166,148,34,13
14.3754,35.9375,187,,Malta,2020-04-16T10:35:12.000Z,35.9375,14.3754,399,82,3
-10.9408,21.0079,188,,Mauritania,2020-04-16T10:35:12.000Z,21.0079,-10.9408,7,2,1
57.552152,-20.348404,189,,Mauritius,2020-04-16T10:35:12.000Z,-20.348404,57.552152,324,65,9
